"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
145,"Lohit District Hospital Blood Bank","Arunachal Pradesh",LOHIT,Tezu,"District Hospital Tezu, Lohit District, Arunachal Pradesh",792001,27.5596,96.1016
146,"General Hospital Ziro  Blood Bank","Arunachal Pradesh","LOWER SUBANSIRI",Ziro,"General Hospital Ziro, Lower Subansiri
 
",791120,27.5387,93.8222
147,"Ramakrishna Mission Hospital Blood bank","Arunachal Pradesh","PAPUM PARE",Itanagar,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar,
",791113,27.0862,93.6091
148,"Arunachal State Hospital Blood Bank","Arunachal Pradesh","PAPUM PARE",Naharlagun,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",791110,27.1031,93.6919
149,"Tawang District Hospital Blood Bank","Arunachal Pradesh",TAWANG,Tawang,"District Hospital, Tawang District , Arunachal Pradesh",790104,27.5889,91.8649
150,"Tawang District Hospital Blood Bank ","Arunachal Pradesh",TAWANG,Tawang,"Bomdila,Tawang",790104,0,0
151,"District Hospital Blood Bank","Arunachal Pradesh","UPPER SIANG","Upper Siang","Roing,Tezu, Upper Siang",0,0,0
152,"Upper Siang District Hospital Blood Bank","Arunachal Pradesh","UPPER SIANG",Yingkiong,"District Hospital, Yingkiong, Upper Siang District, 
Arunachal Pradesh.",791002,28.6417,95.0253
153,"Upper Subansiri District Hospital Blood Bank","Arunachal Pradesh","UPPER SUBANSIRI",Daporijo,"District Hospital Daporijo, Upper Subansiri District, 
Arunachal Pradesh",791122,27.9813,94.2174
154,"West Siang District Hospital Blood Bank","Arunachal Pradesh","WEST SIANG",Aalo,"District Hospital, Medical Complex, Aalo",791001,28.1693,94.801
155,"Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank",Assam,BARPETA,Barpeta,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River ",781301,26.3238,90.9867
156,"Bongaigaon Civil Hospital Blood Bank",Assam,BONGAIGAON,Bongaigaon,"Main Road, Mayapuri,Bongaigaon",783380,26.4567,90.5602
157,"Lower Assam Hospital Blood Bank",Assam,BONGAIGAON,Bongaigaon,"Chapaguri Road, North Bongaigaon",783380,26.4929,90.5515
158,"Silchar Medical College and Hospital Blood Bank",Assam,CACHAR,Silchar,"Krishnapur Medical Road, Ghungoor, Silchar
",788014,24.7756,92.7943
159,"Indian Red Cross Children Hospital Blood Bank",Assam,CACHAR,Silchar,"Indian Red Cross Children Hospital, Tarapur, Silchar",788007,24.8261,92.7962
160,"Barak Blood Bank and Clinical Research Centre",Assam,CACHAR,Silchar,"Central Rd, Tarapur, Kanakpur Part-II",788005,24.808,92.7952
161,"Bongaigaon Refinery (BRPL) Hospital Blood Bank ",Assam,CHIRANG,Dhaligaon,"BRPL Refinery, iocl/bgr township",783385,26.5106,90.5227
162,"Mangaldoi Civil Hospital Blood Bank",Assam,DARRANG,Mangaldoi,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",784125,26.4376,92.0364
163,"Dhemaji Civil Hospital Blood Bank",Assam,DHEMAJI,Dhemaji,"Ward No:9, Lachit Nagar, Natun Nagar Rd",787057,27.458,94.5745
164,"Dhubri Civil Hospital Blood Bank",Assam,DHUBRI,Dhubri,"Jhagrarpar, Dhubri",783325,26.0344,89.9636
165,"Assam Medical College and Hospital Blood Bank",Assam,DIBRUGARH,Dibrugarh,"Barbari, Dibrugarh",786002,27.487,94.9442
166,"Dr. Damani&#39;s Nursing Home Blood Bank",Assam,DIBRUGARH,Dibrugarh,"L.G.B. Avenue, Near Circuit House",786001,27.4899,94.923
167,"Aditya Diagnostic Hospital Blood Bank",Assam,DIBRUGARH,Dibrugarh,"Bordoloi Avenue, Dibrugarh",786005,27.4914,94.9311
168,"Sri Manta Sankardeva Hospital and Research Centre Blood Bank",Assam,DIBRUGARH,Dibrugarh,"Chowkindinge, Mancotta Road",786001,0,0
169,"Dirial Central Hospital Blood Bank",Assam,DIBRUGARH,Dibrugarh,"Diral Tea estate, Hoogrijan",786601,0,0
170,"Oil India Limited Hospital Blood Bank",Assam,DIBRUGARH,Duliajan,"Oil Hospital, Duliajan",786602,27.3592,95.3236
171,"Haflong Civil Hospital Blood Bank ",Assam,"DIMA HASAO",Haflong,"NH 54, Songpijaang, Haflong",788819,25.1657,93.0248
172,"Goalpara Civil Hospital Blood Bank",Assam,GOALPARA,Goalpara,"Agia Road, Goalpara",783121,26.1423,90.6106
173,"Solace Hospital and Research centre Pvt.Ltd Blood bank",Assam,GOALPARA,Goalpara,"BOC Agia Road Road, P.O. Baladmari
Opposite to Assam Oil Petrol Pump",783121,26.1646,90.6249
174,"Kushal Konwar (KK) Civil Hospital Blood Bank",Assam,GOLAGHAT,"Golaghai town","Abita Building, 1st floor,  Golaghat Near stataion Rd
",785621,26.5102,93.9646
175,"Vivekananda Kendra NRL Hospital Blood Bank",Assam,GOLAGHAT,Golaghat,"NRL Township, Numaligarh Refinery Complex",785699,26.5914,93.7495
176,"S. K. Roy Civil Hospital Blood Bank ",Assam,HAILAKANDI,Hailakandi,"Hailakandi Civil Hospital, NH 154, Bashdahar, Hailakandi",788151,24.6718,92.5634
177,"Jorhat Medical College and Hospital Blood Bank ",Assam,JORHAT,Jorhat,"Telemedicine Department, KB Road, Kushal Nagar, Tarajan",785001,26.7426,94.1951
178,"Air Force Hospital Blood Bank",Assam,JORHAT,Jorhat,"Air Force station, Jorhat, 5, C/O 99 APO",785005,0,0
179,"Greater Jorhat Lions Blood Bank",Assam,JORHAT,Jorhat,"Lions Multiple Service Centre, Sonali Jayanti Nagar",785001,26.7531,94.186
180,"Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank",Assam,KAMRUP,Guwahati,"Panbazar, Guwahati",781001,26.1855,91.7405
181,"Dispur Blood Bank",Assam,KAMRUP,Guwahati,"Ganeshguri, Dispur",781006,26.1498,91.7866
182,"Saharia&#39;s Path Lab & Blood Bank",Assam,KAMRUP,Guwahati,"Guwahati - Shillong Rd, Near Petrol Pump, ABC, Bhangagarh
Opposite Anil Plaza",781005,26.1627,91.7707
183,"International Hospital Blood Bank",Assam,KAMRUP,Guwahati,"Lotus Tower, G.S. Road, Christian Basti",781005,26.1541,91.7813
184,"Hayat Hospital Blood Bank",Assam,KAMRUP,Guwahati,"Odalbakra, Lalganesh",781034,26.1392,91.7462
185,"Rahman Hospital Private Limited Blood Bank",Assam,KAMRUP,Guwahati,"VIP Road, Sixmile, Khanapara, ",781022,26.1351,91.8094
186,"GNRC Institute of Medical Sciences Blood bank",Assam,KAMRUP,Guwahati,"Sila Grant Town, North Guwahati , Near IIT Guwahati",781030,26.2022,91.6933
187,"Central Hospital N. F. Railway Blood Bank",Assam,KAMRUP,Maligaon,"PNGB Road, Near Kamakhya Railway Station, Maligaon, Guwahati",781011,26.1519,91.6949
188,"G.N.R.C. Hospital Blood Bank",Assam,"KAMRUP METRO","Dispur, Guwahati","Dispur, Guwahati",781006,26.1391,91.794
189,"Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank",Assam,"KAMRUP METRO",Guwahati,"GMCH Complex, GMCH Rd, Bhangagarh, Guwahati",781032,26.1599,91.7685
190,"Dr. B. Borooah Cancer Institute Blood Bank",Assam,"KAMRUP METRO",Guwahati,"Gopinath Nagar, Birubari, Guwahati",781016,26.1651,91.7477
191,"Assam Gujarat Voluntary Blood Bank and Research Centre",Assam,"KAMRUP METRO",Guwahati,"33, Anil Mazamill Road, Lane opposite to Apsara Cinema, 
Manipuri Basti",781007,26.1767,91.7538
192,"Down Town Hospital Blood Bank ",Assam,"KAMRUP METRO",Guwahati,"4th Floor, Buiding No:1, G.S. Road, Dispur",781006,26.1362,91.7968
193,"Ganga Hospital Blood Bank",Assam,"KAMRUP METRO",Guwahati,"G. S. Road, Lachit Nagar, Ulubari, 
Near KFC; Neubari",781007,26.1721,91.76
194," Surakhya  Blood Bank ",Assam,"KAMRUP METRO",Guwahati,"Arya Hospital complex, A.M. Road, Rehabri
Opposite Apsara Cinema Hall",781008,26.1751,91.7526
195,"Marwari Hospital and Research Centre Blood Bank",Assam,"KAMRUP METRO",Guwahati,"Sati Jaymati Road, Athgaon",781008,26.172,91.7401
196,"151 Base Hospital Blood Bank",Assam,"KAMRUP METRO",Guwahati,"Basistha, Guwahati",781029,26.1042,91.7962
197,"Sanjevani Hospital Blood Bank",Assam,"KAMRUP METRO",Guwahati,"Maligaon,  Guwahati",781011,26.1612,91.7094
198,"Narayana Hrudayalaya Limited Blood Bank",Assam,"KAMRUP METRO",Guwahati,"Tularam Bafana Civil Hospital Campus, North Guwahati, Amingaon.",781031,26.2078,91.6782
199,"Diphu Civil Hospital Blood Bank",Assam,"KARBI ANGLONG",Diphu,"Diphu, Karbi Anglong",782460,25.8443,93.4338
200,"Karimganj Civil Hospital Blood Bank",Assam,KARIMGANJ,Karimganj,Karimganj,788710,24.8676,92.3618
201,"R.N.B. Civil Hospital Blood Bank",Assam,KOKRAJHAR,Kokrajhar,"Habrubil, Gossaigaon, Kokrajhar",783370,26.4529,89.9764
202,"North Lakhimpur Civil Hospital Blood Bank",Assam,LAKHIMPUR,"North Lakhimpur","North Lakhimpur",787001,27.2427,94.1065
203,"Morigaon Civil Hospital Blood Bank",Assam,Morigaon,Morigaon,"KK Handique Path, Ward Number 7, Rajagaon, ",782105,26.2516,92.3545
204,"Haji Abdul Majid Memorial Hospital and Research Centre Blood Bank",Assam,NAGAON,Hojai,"Hojai, Nagaon",782435,26.016,92.8682
205,"Divisional Railway Headquarters Hospital Blood Bank",Assam,NAGAON,Lumding,"Lumding  ",0,0,0
206,"B.P. Civil Hospital Blood Bank",Assam,NAGAON,Nagaon,"Civil Road, Nagaon",782001,26.3449,92.6895
207,"North East Blood Bank and Research Centre",Assam,NAGAON,Nagaon,"N.H. 37, Haibargaon, ",782002,26.3443,92.681
208,"S. M. K. Civil Hospital Blood Bank ",Assam,NALBARI,Nalbari,"Maszid Road ",781335,26.4482,91.4356
209,"Nalbari Maternity Hospital Blood Bank",Assam,NALBARI,Nalbari,"Alternative Road",781335,26.4406,91.4358
210,"O.N.G.C. Limited Hospital Blood Bank",Assam,SIVASAGAR,Sivasagar,"Sivasagar ",785640,26.9812,94.6518
211,"Pragati Hospital and Research Centre Blood Bank",Assam,SIVASAGAR,Sivasagar,"A.T. Road, Sivsagar",785640,26.9979,94.6198
212,"Sivasagar Civil Hospital Blood Bank",Assam,SIVASAGAR,Sivasagar,Joysagar,785640,26.9552,94.6111
213,"Catholic Hospital Blood Bank",Assam,SONITPUR,"Biswanath chariali",Borgang,784167,26.8153,93.3202
214,"Kanaklata Civil Hospital Blood Bank",Assam,SONITPUR,Tezpur,"Main Road, Tezpur",784001,26.6285,92.7965
215,"155 Base Hospital Blood Bank",Assam,SONITPUR,Tezpur,"Tezpur  ",784501,26.6554,92.7873
216,"Tezpur Medical College Hospital Blood Bank ",Assam,SONITPUR,Tezpur,Bihaguri,784010,26.681,92.6534
217,"Indian Oil Corp Ltd (AOD) Hospital blood bank",Assam,TINSUKIA,Digboi,"IOCL, Assam Division, Digboi",786171,27.3929,95.6294
218,"Central Hospital  Coal India Limited",Assam,TINSUKIA,Margherita,"Coal India Limited, Margerita",786184,27.2893,95.6748
219,"Tinsukia Civil Hospital Blood Bank",Assam,TINSUKIA,Tinsukia,"Bordoloi Nagar, Tinsukia",786125,27.4986,95.3589
220,"Tinsukia Blood Bank",Assam,TINSUKIA,Tinsukia,"S.R. Lohia Road, Chiravapathy, IMA House, Tinsukia",786125,27.4904,95.363
221,"Sadar Hospital Aurangabad Blood Bank",Bihar,AURANGABAD,Aurangabad,"Old  G.T. Road",824101,0,0
222,"Meera Nursing Home Blood Bank and Research Centre",Bihar,BEGUSARAI,Begusarai,"Pokharia Rd, Chitragupta Nagar, Begusarai,",851101,0,0
223,"Rastra Kavi Dinkar Blood Bank",Bihar,BEGUSARAI,Begusarai,"Sadar Hospital, Begusarai

",851101,25.4138,86.136
224,"Deshratna Rajendra Prasad Memorial Rotary Blood Bank",Bihar,BEGUSARAI,"Begusarai ","Kali Asthan,  P. O. Pokhanlya

",851101,0,0
225,"Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank",Bihar,BHAGALPUR,Bhagalpur,"Mayaganj, Tilkamanjhi, ",812001,25.2642,87.0021
226,"Sadar Hospital Ara (Bhojpur) Blood bank",Bihar,BHOJPUR,Ara,"Sapna Cinema Road, Nawada,",802301,25.5598,84.6676
227,"Sadar Hospital Ara Blood Bank",Bihar,BHOJPUR,Ara,"Sadar Hospital Ara Blood Bank, Shivganj
",802301,25.5585,84.6706
228,"Maa Vindhyawasini Blood Bank ",Bihar,BHOJPUR,Arrah,"Pakari Chauk, Near Malti Hospital",802301,25.54,87.5675
229,"Indian Red Cross Blood Bank (IRCS) Blood Bank",Bihar,BHOJPUR,Arrah,"South Ramna Road, Bhojpur",802301,25.5593,84.662
230,"Sadar Hospital Buxar Blood Bank",Bihar,BUXAR,Buxar,"Old Campus of Sadar Hospital, Civil Line",802101,25.5647,83.9777
231,"Darbhanga Medical College and Hospital (DMCH) Regional Blood Bank",Bihar,DARBHANGA,Laheriasaria,"Darbhanga Surgery Building, Ground Floor, DMCH Campus, DMCH Road",846003,26.1334,85.8989
232,"Indian Red Cross Society Blood Bank, Motihari",Bihar,"EAST CHAMPARAN",Motihari,"Red Cross Society Sadar Hospital road, Motihari, Red Cross Bhawan, Hospital Road",845401,26.6475,84.9103
233,"Duncan Hospital Blood Bank",Bihar,"EAST CHAMPARAN",Raxaul,"Near Nepal Custom Gate, East Champaran District, Raxaul",845305,0,0
234,"Anugrah Narayan Memorial Magadh Medical College Hospital (ANMMCH) Blood Bank",Bihar,GAYA,Gaya,"Sher Ghati Road",823001,24.7712,84.9603
235,"Bhagwan Mahabir Blood Bank",Bihar,GAYA,Gaya,"Pilgrim Hospital Campus, G. B. Road, Chowk

",823001,0,0
236," Sadar Hospital, Gopalganj Blood Bank",Bihar,GOPALGANJ,Gopalganj,"Ward No. 15, Gopalganj",841428,26.4608,84.4411
237,"Sadar Hospital Jamui Blood Bank",Bihar,JAMUI,Jamui,"185, Khan Hospital Road ",811307,25.2052,85.5145
238,"Amar Saheed Jagdeo Prasad, Sadar Hospital Jehanabad Blood Bank ",Bihar,JEHANABAD,Jehanabad,"P G Road, Arwal More",804408,40.2672,86.1349
239,"Sadar Hospital Kaimur (Bhabua) Blood Bank ",Bihar,"KAIMUR (BHABUA)",Bhasna,"Kachahari Road, Kaimur",821101,25.0396,83.6077
240,"Katihar Medical College Blood Bank",Bihar,KATIHAR,Katihar,"Karim Bagh, Post Box No. 23",854106,0,0
241,"Sadar Hospital, Katihar Blood bank",Bihar,KATIHAR,Katihar,"Blood Bank, Sadar Hospital

",854105,25.5399,87.5676
242,"Sadar Hospital Khagaria Blood Bank ",Bihar,KHAGARIA,Khagaria,"Ward Number 14, Khagaria",851205,25.5079,86.4746
243,"Mata Gujri Memorial Medical College & Lions Kenra Hospital Blood Bank ",Bihar,KISHANGANJ,Kishanganj,"Purabbali, Dinajpur Road",855108,0,0
244,"Mata Gujri Memorial (MGM) Blood Bank",Bihar,KISHANGANJ,Kishanganj,"Medical College and Lions Seva Kendra Hospital Blood Bank",855107,0,0
245,"Sadar Hospital Kishanganj Blood Bank ",Bihar,KISHANGANJ,Kishanganj,"Hospital Road",855107,26.1018,87.9488
246,"Sadar Hospital Lakhisarai Blood Bank ",Bihar,LAKHISARAI,Lakhisarai,"Jamui - Lakhisarai Road, Jamui",811311,0,0
247,"Sadar Hospital Madhepura Blood Bank ",Bihar,MADHEPURA,Madhepura,"Near pani tanki chowk, Ward No:10",852113,25.9229,86.7922
248,"Sadar Hospital Madhubani Blood Bank",Bihar,MADHUBANI,Madhubani,"National Highway-104, Post Office Road",847211,0,0
249,"Sadar Hospital Muzaffarpur Blood Bank",Bihar,MUZAFFARPUR,Muzaffarpur,"Sutapatti, Pokhraira, Near Muzaffarpur Railway Station",842001,0,0
250,"Sinha Blood Bank Muzaffarpur",Bihar,MUZAFFARPUR,Muzaffarpur,"Ward no. 5, Imlichatti Sinha Blood Bank (A unit of Dr. A.K. Sinha Nursing Home)
",842001,0,0
251,"Sri Krishna Medical College Hospital (SKMCH) Blood Bank ",Bihar,MUZAFFARPUR,Muzaffarpur,"National Highway 77, Uma Nagar, Rasulpur Saidpur Bazid
",842004,26.1676,85.3921
252,"Krishna Devi Devi Prasad Kejriwal Maternity Hospital Blood bank",Bihar,MUZAFFARPUR,Muzaffarpur,"Juran   Chapra, Road No.2, ",842001,0,0
253,"Sadar Hospital Muzaffarpur Blood Bank",Bihar,MUZAFFARPUR,Muzaffarpur,"Sadar Hospital Blood Bank Muzaffarpur, Near Muzaffarpur Railway Station, Hospital Road, 
",842001,26.1223,85.3826
254,"Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj)",Bihar,NALANDA,"Bihar Sharif","Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj), Azizghat Main Rd, Baradari, Bihar Sharif,

",803101,0,0
255,"Red Cross Blood Bank, Sadar Hospital, Bihar Sharif",Bihar,NALANDA,"Bihar Sharif","Indian Red Cross Society, opposite Sadar Hospital, near IMA hall",803101,25.2052,85.5145
256,"Sadar Hospital Nawada Blood Bank ",Bihar,NAWADA,Nawada,"Sadar Hospital, Roh

",805110,0,0
257," Hitech Emergency Hospital Blood Bank ",Bihar,PATNA,Danapur,"(A keshaw Hospital Private Limited) Saguna More, Khagaul Road, Saguna More, Danapur Cantonment, ",801503,0,0
258,"Bharat Blood Bank",Bihar,PATNA,Patna,"Churi Market, Near jahaji kothi, churi market Kadamkuan, ",800003,0,0
259,"Kurji Holy Family Hospital Blood Bank",Bihar,PATNA,Patna,"Danapur Road, Sadaquat Ashram P.O, Kurji",800010,0,0
260,"National Blood Bank & Resarch Center",Bihar,PATNA,Patna,"NC/ 2B Main Road, Kankarbagh, Near Sri Ram Hospital",800020,0,0
261,"Nalanda Medical College and Hospital Blood Bank",Bihar,PATNA,Patna,"Agamkuan, Near Shitla Mandir",800007,25.5941,85.1376
262,"Military Hospital Blood Bank",Bihar,PATNA,Patna,"Danapur Cantt
",801503,0,0
263,"Lions Mahavir Cancer Sansthan Blood Bank",Bihar,PATNA,Patna,"Mahavir Cancer Sansthan, Phulwarisharif
",801505,0,0
264,"Tripolia Social Service Hospital and Blood Bank",Bihar,PATNA,Patna,Gulzarbarg,800007,0,0
265,"Shashi Blood Bank",Bihar,PATNA,Patna,"Shashi Blood Bank, Ashok Rajpath, Patna",800004,0,0
266,"Patliputra Blood Bank",Bihar,PATNA,Patna,"Opp. ENT Outdoor, Patna Medical College Hospital, Ashok Rajpath Road, Bankipur
",800004,0,0
267,"Bihar State Patna Medical College and Hospital (PMCH) Blood Bank",Bihar,PATNA,Patna,"Ashok Raj Path, Bankipore

",800004,25.6198,85.1589
268,"Indian Red Cross Society (IRCS) Patna Blood Bank",Bihar,PATNA,Patna,"Indian Red Cross Bhawan, North Gandhi Maidan",800001,25.6199,85.1453
269,"Jaiprabha Hospital Model Blood Bank (MBB)",Bihar,PATNA,Patna,"State of art Model Blood Bank,
Jai Prabha Hospital Campus, P.C.Colony, Kankarbagh, Near Ganga Devi Mahila Maha Vidyalaya",800020,25.6002,85.1523
270,"Palm View Hospital Blood Bank",Bihar,PATNA,Patna,"Ambedkar Path, Nandanpur,
Near Jagdeo Path More, Khajpura, 
",800014,0,0
271,"Lions Jeewan Blood Bank ",Bihar,PATNA,Patna,"C/o. Jeevak Heart Hospital & Research Institute Private Limited, D-6 Doctor&#39;s Colony, Kankarbagh,

",800020,0,0
272,"Paras HMRI Hospital Blood Bank",Bihar,PATNA,Patna,"NH 30, Bailey Road, Raja Bazar",800014,0,0
273,"Indira Gandhi Institute of Medical Sciences (IGIMS) Blood Bank ",Bihar,PATNA,Patna,"Baily Road, Sheikpura, Raja Bazar, Near Sanjay Gandhi Botanical Garden",800014,25.6117,85.0896
274,"Life Line Blood Bank",Bihar,PATNA,Patna,"Govind Mitra Road

",800004,0,0
275," Vaatsalya Blood Bank",Bihar,PATNA,Patna,"Mahavir Vaatsalya Aspatal, East of Sadaquat Ashram,
L. C. T. Ghat",800001,0,0
276,"Paras Hmri Hospital Blood Bank",Bihar,PATNA,Patna,"Baily Road, Raja bazaar",800014,0,0
277,"Ruban Memorial Hospital Blood Bank",Bihar,PATNA,Patna,"19 Patliputra Colony, Near Patliputra Golambar

",800013,0,0
278,"Jeevan Rekha Blood Bank",Bihar,PATNA,Patna,"(A unit of Sanjiwini Medicare Charitable Trust), Getwel Hospital, Rajabazar, Bailey Road",800014,0,0
279,"Indian Red Cross Society (IRCS) Blood Bank",Bihar,PURNIA,"Purnia ","Red Cross Blood Bank, Purnea, Red Cross Bhawan Line Bazar
",854301,25.7855,87.4883
280,"Sadar Hospital Purnia  Blood Bank ",Bihar,PURNIA,Purnia,"Sudin Chowk Road, Rajnikant Colony, Line Bazar, Purnea,",854301,25.7782,87.4725
281,"Bose Clinic Blood Bank",Bihar,ROHTAS,"Dehral on Sone","Dehral on Sone, Canal Road, Rohtas
",821307,0,0
282,"Sadar Hospital Sasaram Blood Bank",Bihar,ROHTAS,Rohtas,"Rauza Road, Laxkariganj, Near Head Post Office, Sasaram
",821115,24.9528,84.0139
283,"Narayana Medical College and Hospital Blood Bank",Bihar,ROHTAS,Sasaram,"Jamuhar Sasaram, Rohtas
",821305,0,0
284,"Micro Blood Bank Sasaram",Bihar,ROHTAS,Sasaram,"Micro Blood Bank Raj Colony, Sasaram, Rohtas 
",821115,0,0
285,"Sadar Hospital Saharsa Blood Bank ",Bihar,SAHARSA,Saharsa,"Zila School Road, Police Line, Saharsa",852201,25.8871,86.591
286,"Indian Red Cross Society (IRCS) Samastipur Blood Bank ",Bihar,SAMASTIPUR,Samastipur,"Sadar Hospital Samastipur Campus, Opposite Circuit House
",848101,0,0
287,"Sadar Hospital Samastipur Blood Bank ",Bihar,SAMASTIPUR,Samastipur,"14, State Highway 50, Azad Nagar, Samastipur, ",848101,25.8572,85.7785
288,"Sadar Hospital Chhapra Blood Bank ",Bihar,SARAN,Chapra,"Daroga Rai Chowk, Sadhapur, Chhapra,",841301,25.7817,84.7307
289,"Sadar Hospital Sheikhpura Blood Bank",Bihar,SHEIKHPURA,Sheikhpura,"Near Dallu Chowk, Sheikhpura,",811105,25.1332,85.8414
290,"Sadar Hospital Sitamarhi Blood Bank",Bihar,SITAMARHI,Sitamarhi,"NH 104, KVJ Nagar, Sitamarhi, ",843302,26.5962,85.4947
291," Sadar Hospital Siwan Blood Bank",Bihar,SIWAN,Siwan,"SH 45, Babhnauli, Siwan",841226,26.2262,84.3618
292,"P.N.H Mahatma Budh Educational and Research Centre Blood Bank ",Bihar,SIWAN,Siwan,"Mahatma Budh Educational and Research Centre, situated at Popular Nursing Home, East of Gandhi Maidan",841226,0,0
293,"Sadar Hospital Hajipur Blood Bank ",Bihar,VAISHALI,Hajipur,"hospital road, hajipur, Near Civil Court
",8441010,25.6903,85.2083
294,"Maharani Janki Kunwar (MJK) Hospital Blood Bank",Bihar,"WEST CHAMPARAN",Bettiah,"Bettiah, West Champaran",845438,26.7969,84.5009
295,"Department of  Transfusion Medicine, PGIMER Blood Bank",Chandigarh,CHANDIGARH,Chandigarh,"Blood Bank, Department of Transfusion Medicine, Nehru Hospital, PGIMER, Sec-12, Chandigarh. ",160012,30.7659,76.7755
296,"Rotary and Blood Bank Society Resource Centre",Chandigarh,CHANDIGARH,Chandigarh,"Plot No:4, Dakshin Marg, Sector 37A, Chandigarh",160036,30.7421,76.7551
297,"Government Medical College and Hospital Blood Bank ",Chandigarh,CHANDIGARH,Chandigarh,"Department of Transfusion Medicine ,Government Medical College and Hospital, Sector-32, Chandigarh",160032,30.7093,76.7805
298,"Government Multispeciality Hospital Blood Bank",Chandigarh,CHANDIGARH,Chandigarh,"Blood Bank, Government Multispeciality Hospital, Room No. 164 Sector 16 Chandigarh.",160016,30.751,76.781
